Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,total_sqft,YearsSinceRemod,Age
1044,160,RM,21.0,1680,1,4,4,Inside,3,BrDale,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3.0,3.0,1.0,5.0,387.0,1.0,0.0,96.0,483.0,3,1,483,504,0,987,0.0,0.0,1,1,2,1,3,4,8,0,Detchd,1971.0,1.0,1.0,264.0,3.0,3.0,3,0,0,0,0,0,0,0,7,2008,85400,1470.0,39,39
2752,20,RL,64.0,7488,2,4,4,Inside,3,CollgCr,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,393.0,1.0,0.0,815.0,1208.0,5,1,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,8,0,Attchd,2005.0,2.0,2.0,632.0,3.0,3.0,3,105,58,0,0,0,0,0,2,2006,183600,2416.0,5,5
807,70,RL,120.0,26400,1,3,4,FR2,3,SawyerW,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,HdBoard,None,0.0,4,3,PConc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,5,1,Attchd,1900.0,1.0,2.0,576.0,3.0,3.0,2,0,0,0,0,0,0,0,6,2009,131000,2016.0,3,130
1177,160,FV,24.0,2645,1,4,4,Inside,3,Somerst,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4.0,3.0,1.0,6.0,813.0,1.0,0.0,147.0,960.0,5,1,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,8,0,Detchd,2000.0,1.0,2.0,480.0,3.0,3.0,3,169,0,0,0,0,0,0,12,2008,200000,2567.0,10,11
1480,20,RL,74.0,9627,1,4,4,Inside,3,CollgCr,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,24.0,1.0,0.0,1327.0,1351.0,5,1,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,8,0,Attchd,2007.0,2.0,2.0,610.0,3.0,3.0,3,0,50,0,0,0,0,0,6,2008,193000,2712.0,3,3
324,20,RL,93.0,10114,1,4,4,Inside,3,Mitchel,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1430.0,1430.0,5,1,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,8,0,Attchd,2004.0,2.0,2.0,624.0,3.0,3.0,3,0,0,0,0,0,0,0,3,2010,173500,2860.0,5,6
1311,70,RM,34.0,4571,1,4,4,Inside,3,OldTown,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,624.0,624.0,2,0,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,8,0,Detchd,1916.0,1.0,3.0,513.0,2.0,2.0,3,0,0,96,0,0,0,0,5,2008,98000,1968.0,60,94
770,20,RL,80.0,8816,1,4,4,Corner,3,Sawyer,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,1.0,3.0,651.0,1.0,0.0,470.0,1121.0,3,1,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,8,0,Detchd,1963.0,1.0,2.0,480.0,3.0,3.0,3,0,80,0,0,0,0,0,6,2009,139000,2242.0,47,47
2063,20,RL,71.0,8197,1,4,4,Inside,3,Sawyer,1Fam,1Story,6,5,1977,1977,Gable,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,660.0,660.0,5,1,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,8,1,Attchd,1977.0,2.0,2.0,528.0,3.0,3.0,3,138,0,0,0,0,0,0,4,2007,143500,1945.0,33,33
69,60,FV,72.0,8640,1,4,4,Inside,3,Somerst,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,2.0,6.0,24.0,1.0,0.0,732.0,756.0,5,1,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,8,0,Attchd,2009.0,1.0,2.0,614.0,3.0,3.0,3,169,45,0,0,0,0,0,6,2010,215200,2303.0,1,1
2062,20,RL,109.0,8724,1,4,4,Inside,3,Sawyer,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,1.0,4.0,492.0,1.0,0.0,402.0,894.0,4,1,894,0,0,894,0.0,0.0,1,0,3,1,3,5,8,1,Attchd,1968.0,3.0,2.0,450.0,3.0,3.0,3,0,0,0,0,0,0,0,5,2007,129000,1788.0,42,42
351,120,RL,40.0,5664,2,4,4,Inside,3,StoneBr,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,1158.0,1.0,0.0,343.0,1501.0,5,1,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,8,1,Attchd,2000.0,3.0,2.0,499.0,3.0,3.0,3,212,59,0,0,0,0,0,10,2009,278000,3160.0,10,10
2393,60,RL,103.0,12867,2,4,4,Corner,3,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,CemntBd,CmentBd,None,98.0,4,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1209.0,1209.0,5,1,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,8,1,Attchd,2005.0,3.0,2.0,575.0,3.0,3.0,3,243,142,0,0,0,0,0,7,2006,344133,3462.0,4,5
12,20,RL,69.0,7980,2,4,4,Inside,3,Gilbert,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,None,0.0,3,4,PConc,4.0,3.0,1.0,5.0,935.0,1.0,0.0,233.0,1168.0,5,1,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,8,0,Attchd,1992.0,3.0,2.0,420.0,3.0,3.0,3,483,21,0,0,0,0,500,3,2010,185000,2355.0,3,18
2339,190,RL,100.0,34650,1,3,4,Inside,3,Gilbert,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2.0,3.0,1056.0,1.0,0.0,0.0,1056.0,3,0,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,8,0,Attchd,1955.0,3.0,2.0,572.0,3.0,3.0,3,264,0,0,0,0,0,0,1,2006,145000,2112.0,55,55
624,20,RL,92.0,10573,2,4,4,Corner,3,NAmes,1Fam,1Story,6,6,1961,1961,Hip,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3.0,3.0,1.0,3.0,1312.0,1.0,0.0,141.0,1453.0,5,1,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,8,1,Attchd,1961.0,2.0,2.0,530.0,3.0,3.0,3,0,49,0,0,288,0,0,4,2009,187500,2906.0,49,49
86,20,RL,65.0,8450,1,4,4,Inside,3,Sawyer,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,553.0,4.0,117.0,224.0,894.0,5,1,894,0,0,894,1.0,0.0,1,0,3,1,3,5,8,1,Detchd,1973.0,1.0,1.0,336.0,3.0,3.0,3,416,144,0,0,0,0,0,4,2010,138500,1788.0,1,45
1534,50,RL,69.0,11700,2,2,4,Inside,2,Crawfor,1Fam,1.5Fin,5,6,1937,1995,Gable,WdShing,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,1.0,4.0,606.0,1.0,0.0,336.0,942.0,5,1,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,6,1,Detchd,1937.0,1.0,1.0,240.0,3.0,3.0,3,0,40,0,0,0,0,0,7,2008,198000,2880.0,15,73
2243,190,RL,75.0,8250,1,4,4,Inside,3,IDOTRR,2fmCon,2Story,5,6,1895,2006,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,957.0,957.0,2,0,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,8,0,Attchd,2005.0,0.0,0.0,0.0,0.0,0.0,1,0,0,133,0,0,0,0,6,2007,119600,2948.0,4,115
1957,50,RL,60.0,8064,1,4,4,Corner,3,NAmes,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,2.0,1.0,0.0,1.0,0.0,672.0,672.0,5,1,672,252,0,924,0.0,0.0,1,0,3,1,3,6,8,1,Detchd,2003.0,1.0,2.0,576.0,3.0,3.0,3,0,0,0,0,0,0,2000,7,2007,122900,1596.0,4,61
380,20,RL,80.0,9600,1,4,4,Inside,3,NWAmes,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,None,0.0,4,3,PConc,4.0,3.0,1.0,5.0,1104.0,1.0,0.0,1420.0,2524.0,3,1,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,8,1,Attchd,1981.0,3.0,2.0,542.0,3.0,3.0,3,474,120,0,0,0,0,0,7,2009,278000,5048.0,29,29
2860,70,RL,69.0,11435,2,2,4,Corner,2,Crawfor,1Fam,2Story,8,7,1929,1950,Gable,BrkFace,Stucco,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,792.0,792.0,2,1,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,8,2,Detchd,1931.0,1.0,2.0,400.0,3.0,3.0,3,0,0,0,0,0,0,0,6,2006,230000,2309.0,60,81
2517,120,RL,30.0,9549,2,4,4,CulDSac,3,Veenker,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,BrkFace,None,0.0,4,4,PConc,4.0,4.0,3.0,2.0,437.0,6.0,1057.0,0.0,1494.0,5,1,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,8,1,Attchd,1995.0,3.0,2.0,481.0,3.0,3.0,3,0,30,0,0,216,0,0,4,2006,270000,2988.0,14,15
1933,20,RL,60.0,10950,1,4,4,Inside,3,NAmes,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,441.0,1.0,0.0,507.0,948.0,3,1,948,0,0,948,0.0,0.0,1,0,2,1,3,5,8,0,Detchd,1952.0,1.0,2.0,410.0,3.0,3.0,1,0,48,0,0,0,0,0,4,2007,125000,1896.0,58,58
820,20,RL,79.0,10637,1,4,4,Inside,3,CollgCr,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5.0,3.0,4.0,6.0,1288.0,1.0,0.0,417.0,1705.0,5,1,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,8,1,Attchd,2007.0,2.0,3.0,826.0,3.0,3.0,3,208,44,0,0,0,0,0,9,2009,297000,3423.0,2,3
675,20,RL,80.0,9000,2,2,4,Inside,2,NAmes,1Fam,1Story,6,6,1958,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4.0,3.0,4.0,1.0,0.0,1.0,0.0,160.0,160.0,2,1,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,8,1,Basment,1958.0,2.0,1.0,384.0,3.0,3.0,3,0,28,64,0,0,0,0,4,2009,113500,1302.0,52,52
2910,160,RM,41.0,2665,1,4,4,Inside,3,MeadowV,TwnhsE,2Story,5,6,1977,1977,Gable,CemntBd,CmentBd,None,0.0,3,3,PConc,3.0,3.0,1.0,5.0,548.0,3.0,173.0,36.0,757.0,5,1,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,8,1,Attchd,1977.0,2.0,1.0,336.0,3.0,3.0,3,104,26,0,0,0,0,0,7,2006,127000,2232.0,33,33
21,20,RL,105.0,11751,2,4,4,Inside,3,NWAmes,1Fam,1Story,6,6,1977,1977,Hip,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4.0,3.0,1.0,4.0,705.0,1.0,0.0,1139.0,1844.0,5,1,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,8,1,Attchd,1977.0,2.0,2.0,546.0,3.0,3.0,3,0,122,0,0,0,0,0,1,2010,190000,3688.0,33,33
1873,20,RL,80.0,9600,1,4,4,Inside,3,NWAmes,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3.0,3.0,1.0,5.0,916.0,1.0,0.0,326.0,1242.0,2,1,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,8,1,Attchd,1973.0,1.0,2.0,528.0,3.0,3.0,3,0,0,0,0,0,0,0,9,2007,175500,2484.0,37,37
2125,20,RL,60.0,8428,3,4,4,Inside,3,CollgCr,1Fam,1Story,5,7,1994,1994,Gable,VinylSd,VinylSd,None,0.0,3,4,PConc,4.0,4.0,1.0,6.0,420.0,1.0,0.0,570.0,990.0,5,1,990,0,0,990,1.0,0.0,1,0,3,1,3,5,8,0,Detchd,1995.0,1.0,1.0,384.0,3.0,3.0,3,256,0,0,0,0,0,0,7,2007,146000,1980.0,16,16
1489,20,RL,75.0,9937,1,4,4,Inside,3,Edwards,1Fam,1Story,5,6,1965,1965,Gable,HdBoard,HdBoard,None,0.0,4,3,CBlock,3.0,3.0,1.0,4.0,830.0,2.0,290.0,136.0,1256.0,4,1,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,8,0,Attchd,1965.0,3.0,1.0,276.0,3.0,3.0,3,736,68,0,0,0,0,0,6,2008,147500,2512.0,45,45
2383,20,RL,107.0,13891,1,4,4,Inside,3,NridgHt,1Fam,1Story,10,5,2006,2006,Gable,VinylSd,VinylSd,None,98.0,5,3,PConc,5.0,4.0,4.0,6.0,1386.0,1.0,0.0,690.0,2076.0,5,1,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,8,1,Attchd,2006.0,3.0,3.0,850.0,3.0,3.0,3,216,229,0,0,0,0,0,9,2006,465000,4152.0,4,4
983,85,RL,69.0,9101,2,4,4,Corner,3,Mitchel,1Fam,SFoyer,5,6,1978,1978,Gable,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4.0,3.0,3.0,6.0,1097.0,1.0,0.0,0.0,1097.0,5,1,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,8,1,Attchd,1978.0,3.0,2.0,602.0,3.0,3.0,3,303,30,0,0,0,0,0,7,2009,165500,2207.0,32,32
1325,50,RM,81.0,12150,1,4,4,Inside,3,OldTown,1Fam,1.5Fin,5,5,1954,1954,Gable,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1050.0,1050.0,5,0,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,8,0,Attchd,1954.0,1.0,1.0,352.0,2.0,3.0,3,0,0,0,0,0,0,0,11,2008,131500,2845.0,56,56
1378,20,RL,70.0,11200,1,4,4,Inside,3,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,906.0,1.0,0.0,134.0,1040.0,5,1,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,8,0,Detchd,1965.0,1.0,1.0,384.0,3.0,3.0,3,0,0,0,0,0,0,0,2,2008,129500,2080.0,45,45
1537,70,RL,100.0,9670,2,2,4,Inside,2,Crawfor,1Fam,2Story,8,6,1935,1950,Gable,BrkFace,Stucco,Stone,40.0,3,3,PConc,3.0,2.0,1.0,2.0,210.0,1.0,0.0,398.0,608.0,3,1,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,8,2,Detchd,1935.0,3.0,2.0,786.0,2.0,3.0,3,0,0,207,0,0,0,0,6,2008,257076,2481.0,60,75
905,50,RL,60.0,10998,1,4,4,Inside,3,Edwards,1Fam,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,2.0,408.0,4.0,420.0,156.0,984.0,5,1,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,6,0,Detchd,1977.0,1.0,2.0,660.0,3.0,3.0,3,0,68,0,0,0,0,0,7,2009,117000,2588.0,50,69
1532,70,RL,60.0,7200,1,2,4,Inside,2,Crawfor,1Fam,2Story,7,6,1931,2000,Gable,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4.0,3.0,1.0,1.0,0.0,1.0,0.0,776.0,776.0,3,1,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,8,1,Attchd,1931.0,2.0,1.0,270.0,3.0,3.0,2,0,0,112,0,0,0,0,2,2008,149000,2278.0,10,79
132,20,RL,80.0,9920,1,4,4,Inside,3,NAmes,1Fam,1Story,5,5,1954,1954,Gable,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3.0,3.0,1.0,3.0,354.0,2.0,290.0,412.0,1056.0,3,1,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,8,0,Attchd,1954.0,2.0,1.0,280.0,3.0,3.0,3,0,0,164,0,0,0,0,2,2010,128000,2119.0,56,56
1078,160,RL,36.0,2448,1,4,4,Inside,3,NridgHt,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,764.0,764.0,5,1,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,8,0,BuiltIn,2003.0,2.0,2.0,474.0,3.0,3.0,3,0,27,0,0,0,0,0,10,2008,155000,2390.0,6,7
2511,160,FV,69.0,2998,1,4,4,Inside,3,Somerst,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4.0,3.0,1.0,6.0,353.0,1.0,0.0,403.0,756.0,5,1,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,8,0,Detchd,2000.0,1.0,2.0,440.0,3.0,3.0,3,0,32,0,0,0,0,0,6,2006,166000,2280.0,10,10
912,50,RL,65.0,7804,1,4,4,Inside,3,SWISU,1Fam,1.5Fin,4,3,1928,1950,Gable,WdShing,Plywood,None,0.0,3,3,BrkTil,3.0,3.0,1.0,4.0,622.0,1.0,0.0,500.0,1122.0,3,1,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,6,2,Detchd,1981.0,1.0,2.0,576.0,3.0,3.0,3,431,44,0,0,0,0,0,12,2009,135000,3103.0,60,82
2351,60,RL,80.0,16692,2,4,4,Inside,3,NWAmes,1Fam,2Story,7,5,1978,1978,Gable,Plywood,Plywood,BrkFace,184.0,3,3,CBlock,4.0,3.0,1.0,4.0,790.0,2.0,469.0,133.0,1392.0,3,1,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,8,2,Attchd,1978.0,2.0,2.0,564.0,3.0,3.0,3,0,112,0,0,440,519,2000,7,2006,250000,4176.0,32,32
330,160,RM,21.0,1476,1,4,4,Inside,3,MeadowV,Twnhs,2Story,4,7,1970,1970,Gable,CemntBd,CmentBd,None,0.0,3,3,CBlock,3.0,3.0,1.0,6.0,176.0,1.0,0.0,370.0,546.0,5,1,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,8,0,Attchd,2005.0,0.0,0.0,0.0,0.0,0.0,3,200,26,0,0,0,0,0,3,2010,76000,1638.0,40,40
2586,20,RL,75.0,10170,1,4,4,Corner,3,NAmes,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,522.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,216.0,216.0,3,1,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,8,1,Attchd,1951.0,1.0,2.0,400.0,3.0,3.0,3,0,0,0,0,0,0,0,6,2006,155000,1791.0,59,59
224,60,RL,80.0,9364,1,4,4,Corner,3,Sawyer,1Fam,2Story,6,7,1969,1969,Gable,HdBoard,HdBoard,Stone,143.0,3,3,CBlock,3.0,3.0,1.0,5.0,371.0,1.0,0.0,292.0,663.0,3,1,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,8,0,Attchd,1969.0,3.0,1.0,299.0,3.0,3.0,3,379,36,0,0,0,0,0,3,2010,158000,2015.0,41,41
98,160,FV,24.0,2544,1,4,4,Inside,3,Somerst,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,368.0,5.0,42.0,190.0,600.0,5,1,600,600,0,1200,1.0,0.0,2,1,2,1,4,4,8,0,Detchd,2004.0,2.0,2.0,480.0,3.0,3.0,3,0,172,0,0,0,0,0,2,2010,149500,1800.0,5,6
2565,20,RL,82.0,9888,1,4,4,Inside,3,NAmes,1Fam,1Story,5,6,1954,1975,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,4.0,486.0,1.0,0.0,450.0,936.0,3,1,936,0,0,936,0.0,0.0,1,0,2,1,3,5,8,0,Attchd,1954.0,1.0,1.0,240.0,3.0,3.0,3,0,0,160,0,0,0,0,3,2006,121000,1872.0,35,56
